Time,Rotor Speed (omega),Aerodynamic Torque (T_m),Wind Speed,Pitch Angle
36.23623623623624,inf,-0.0,7.072840635941522,4.5226222342864
36.33633633633634,inf,-0.0,7.055148539083593,4.5129075724445755
36.43643643643644,inf,-0.0,7.037551115835351,4.50320511227917
36.53653653653654,inf,-0.0,7.020050129449167,4.493515096837034
36.63663663663664,inf,-0.0,7.002647333514495,4.483837768853274
36.73673673673674,inf,-0.0,6.985344471782151,4.474173370745176
36.83683683683684,inf,-0.0,6.968143277989604,4.464522144606134
36.93693693693694,inf,-0.0,6.951045475687247,4.454884332199583
37.03703703703704,inf,-0.0,6.934052778065701,4.445260174952944
37.13713713713714,inf,-0.0,6.9171668877841554,4.435649913951574
37.23723723723724,inf,-0.0,6.900389496799762,4.426053789932731
37.33733733733734,inf,-0.0,6.883722286198099,4.4164720432795415
37.43743743743744,inf,-0.0,6.86716692602473,4.4069049140149765
37.53753753753754,inf,-0.0,6.850725075117868,4.397352641795844
37.63763763763764,inf,-0.0,6.8343983809421545,4.387815465906778
37.73773773773774,inf,-0.0,6.818188479423592,4.378293625254255
37.83783783783784,inf,-0.0,6.802096994785619,4.368787358360598
37.93793793793794,inf,-0.0,6.786125539386367,4.359296903358011
38.03803803803804,inf,-0.0,6.770275713557102,4.349822497982609
38.13813813813814,inf,-0.0,6.754549105441872,4.340364379568461
38.23823823823824,inf,-0.0,6.738947290838377,4.33092278504165
38.33833833833834,inf,-0.0,6.7234718330400725,4.321497950914334
38.43843843843844,inf,-0.0,6.708124282679533,4.312090113278822
38.53853853853854,inf,-0.0,6.692906177573071,4.302699507801663
38.63863863863864,inf,-0.0,6.677819042566659,4.293326369717738
38.73873873873874,inf,-0.0,6.662864389383134,4.283970933824369
38.83883883883884,inf,-0.0,6.648043716470724,4.274633434475438
38.93893893893894,inf,-0.0,6.633358508852909,4.265314105575519
39.03903903903904,inf,-0.0,6.6188102379796145,4.256013180574011
39.13913913913914,inf,-0.0,6.604400361579781,4.246730892459299
39.23923923923924,inf,-0.0,6.590130323515298,4.237467473752911
39.33933933933934,inf,-0.0,6.576001553636326,4.228223156503698
